Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Quality Inspector,Lucknow,,,01-Oct-19,4,4,4,3,4,3,4,Company brand itself engough.,No comment
Senior Manager Customer Service,South,,Construction Engineering Department,01-Mar-19,4,4,4,4,5,3,4,"Tata motors, this is the best company I worked under the all organisation in my career. I was had Wonderful team, management team also nice. Pleasure to work in such environment.","Food facility is quiet good, not much. Talented people will get exposure very late."
Quality Supervisor,Hubli-Dharwad,,Production & Manufacturing Department,05-Sep-18,4,4,4,4,4,4,4,I am learn and teach and needs high quality in global market,Carrier growth is very slow
Quality Inspector,Pune,,,02-Jan-19,4,3,4,3,3,4,2,Learning & work environment,Behave
Mechanical Maintenance Engineer,Pune,,Maint.  Department,05-May-19,1,1,1,1,1,1,1,,
Purchase Engineer,Pune,Full Time,,09-Dec-18,5,4,4,3,3,4,3,Working environment of company is very excellent & it is always ready to implement new technologies.,"Salary is decent, but growth is very slow."
Technician,SANAND Ahemdabad,,Weld Shop Department,05-Jan-22,4,4,3,3,3,4,3,Work,Language Hindi
Officer,Jamshedpur,,"Operations, Maintenance & Support Department",01-Feb-19,4,4,4,3,4,4,3,Working culture is good and friendly.  My all team members are helpful.,Salary increment process is very bad. So Career growth is little.
Quality Inspector,Rudrapur,,Quality assurance Department,01-Mar-19,5,5,5,5,5,5,5,Tata motors ckd shop quality assurance and quality control imploy,TR job
Lmv Driver,Delhi,,Tss Department,19-Aug,4,4,4,4,4,4,4,Everything is good in Tata Motors,Nothing
Assistant Team Manager,Belgaum,,Sales Support & Operations Department,05-Feb-19,5,4,5,4,4,4,4,It's good company to work and environment too .,Decent but growth is slow
Senior Manager Design,Pune,,Software Development Department,06-May-21,5,5,5,5,5,5,4,Great to work in Tata Motors. High scope learn and free hands to try new idea.,No
Relationship Manager,Chennai,,Sales Department,07-Oct-18,1,1,1,1,1,1,1,Need to know what is corporate culture here using unparliamentary words to abuse customer advisors no proper incentives delivered. Even Rm too from tata motors,Everything is worst up to the core
Dispatch Executive,,,,20-Feb,5,5,5,5,5,5,5,Good,Driving
Manufacturing,Ghazipur,,TCF 1a Department,06-Dec-20,5,5,5,5,5,5,5,,
Sr.sales Maneger,Patna,Full Time,,04-Nov-19,5,5,5,5,5,5,5,this company is very good...,nothing reason
Temporary Worker,Pimpri-chinchawad Pune,Full Time,QA. Powertreain  Department,05-Oct-19,4,4,4,4,4,4,4,I like to rules for tata motors,No
Territory Sales Manager,Kabrai,Full Time,Sales  Department,07-Mar-19,3,1,5,2,2,3,1,I like tata motors that this is the one of the biggest company of india,Work pressure is to much because back office not support
Sales Executive,,,BD / Pre Sales Department,07-Sep-18,5,5,4,5,4,5,4,Super,Culture is the best part
Senior Manager,"Pune, Maharashtra",,Technology / IT Department,09-May-23,5,5,4,5,5,5,3,Promotion process is not efficient,"Very problem in lockdown ,,, No job"
Back Office Executive,,,,19-Oct,5,5,5,5,5,5,5,Best company and facility good,Desi indian type.. I just loved this company.
Job Trainee,Lucknow,,,06-Aug-20,3,5,5,5,5,5,5,Poor production. And quality is not good for buyers,"In lower grade of management L6, salary increment is very slow. In last 13 years i got a single promotion ,but who was in middle management (L5 and above level got min 2 or more promotions) . Any body can explore his/her any kind of knowledge here. Secure atmosphere for anybody."
Cnc Operator,,,,05-Mar-18,4,3,3,3,3,4,4,,
Worker,Ahmedabad,,Engineering Department,20-Jan,4,4,4,4,4,4,4,,
Vehicle Diagnostics Engineer,Pune,,Engineering Research Centre Department,04-Aug-18,5,4,4,4,4,4,5,,
Executive Supply Chain Management,Pune Pimpri Chinchwad,,SCM & Logistics Department,01-Oct-19,5,5,5,5,5,5,5,Good excellent job,Nothing
Denting.grending,All India,,All india Department,01-Apr-20,5,5,5,5,5,5,5,Denting & grinding,All fine
Service Supervisor,Kak,,"Operations, Maintenance & Support Department",01-Oct-19,3,3,5,3,2,4,2,career growth,innovation
Assistant Sales Manager,Guna Man Chohurah,,,05-Jul-19,5,3,5,3,2,4,2,Work culture,Financial position of the company impact to employees compensation.
Senior Manager Finance And Accounts,Mumbai,,Accounting & Taxation Department,04-Jan-19,5,5,5,5,5,5,5,Good work environment. Company facilities are also good.,There is no on job training for fresher's. And  compensation is decent growth is slow and deduction is more.
Diploma Engineer Trainee,Dharwad,,Plant Quality Department,18-Dec,4,5,5,3,5,5,5,Co-operative company,Growth is slow
Office Assistant,Lucknow,,,05-Sep-19,5,3,4,4,3,4,3,"Training,safety,work life balance,travel,learning,work environment etc","Career growth,salary appraisal,shutdown period,Temprory period"
Store Keeper Technical,Pimpri-Chinchwad,,,18-Dec,5,3,3,3,3,4,4,15000,15000
Lucknow,Ludhiana,,1 Department,06-Jan-20,2,5,3,4,2,5,3,Just love to work at tata motors,Nothing elese
Line Trainee Engineer,Bhosari,,Quality  Department,08-Oct-19,5,2,2,2,2,2,1,,
Machinist,Lucknow,Full Time,"Operations, Maintenance & Support Department",07-May-19,5,5,5,5,5,5,5,Training Good,Safety
Team Member (Vehicle Dispatch),Jamshedpur,,Vehicle despatch... Department,19-May,4,5,5,4,5,5,3,Work culture,Compensation is good but growth is slow.
Helper,Jamshedpur,,Contractor laber Department,09-Sep-19,4,1,2,1,3,2,2,This is best company for me good work experience.,All service is good but no extra workings period(it means over time)
Senior Manager,Pune,,,07-Sep-19,5,1,2,1,3,2,2,Good company status,Sallery problems
Lathe Machine Operator,Delhi NCR,,,04-Feb-19,2,5,5,5,5,5,5,"job securities / growth/ and appraisal , and good working environment",all is very good
Temprary,Nil,,,21-Mar,5,5,5,5,5,5,5,"Low Level Politics & multiple Egoes..Few leaders only working for egoes and not for the organisation.
Core values only available on wall Board.",Bad...
Field Sales Officer,Bangalore,,,02-Apr-19,4,2,2,2,3,3,2,,
Lucknow,Chinhat Matiyari Dewa Road Tata Motors,,Hr Department,19-Oct,5,5,5,5,5,5,5,,
Office Assistant,Pune,,Admin/finanance Department,02-Mar-19,4,5,5,4,4,4,5,,
"Manager Vendor Development, Material Planning, Sourcing, Negotiation And Purchase",Pune,,Purchase Department,06-Dec-18,1,5,5,5,5,5,5,,
Front Office Executive,Fort,,HR Operations Department,07-Aug-18,2,3,1,1,1,3,1,Office timings and personal life balance.,Pathetic organisation. There's no job security at Tata Motors. Currently I'm a contractual employee and I'm facing a lot of inconvenience because the company shifts the contract without any intimation to any random third-party agency and the contractual employee has to suffer.
Production Supervisor,Pimpri,,SCM & Logistics Department,06-Sep-19,5,5,4,4,3,4,4,All is good here.,Nothing
Sales Regional Coordinator,Gurgaon,,Enterprise & B2B Sales Department,09-Jun-19,5,5,4,4,3,4,4,Great work environment.,One of the best company to work for.
Manager,Pune,,Software Development Department,19-Apr,4,5,5,5,5,5,5,It was  an amazing platgorm to wrk....we learn hiw to mange our customers in diffrent situation....may thing are thr to learn.....i like most abt thr TBSS is Co-opration of seniors over thr...,Potlitics.. For promotions
Student,Jamshedpur,,Tata docomo Postpaid Department,09-Nov-18,5,4,4,3,5,3,4,Tata motors is a very reputed company in India.i am a part of it . it's working culture is very good. At lots of things to learn. I am work is a shift Incharg. In CRDO office.it is a big and nice team. We handle manpower and all options of its attached. We work in Lucknow plant. It's my home city.,Not anything
Shift Incharge,Lucknow,,Procurement & Purchase Department,04-Sep-18,4,4,4,4,3,5,3,Career growth,Hindi English
Mechanical Engineer,Meerut,,,04-Apr-19,1,4,4,3,4,5,4,No salary,
Service Supervisor,Kalaburagi,,Engineering Department,01-Aug-20,1,4,5,3,4,4,5,,
Senior Manager,,,Engineering Department,01-Jan-20,1,2,3,1,1,3,1,,
Manager - Safety,Jamshedpur,,Occupational Health & Safety Department,05-Apr-19,4,1,2,2,3,1,1,,
Diploma Engineer Trainee,Lucknow,Full Time,,06-Sep-18,5,4,5,3,4,5,3,Our teammates is so good work as family members.our training fantastic & many things to learn our training period.,One thing are not good here not job security person learn to work in our training period and do her job perfectly then company work out though his job.
Diploma Mechanical Engineer,Dharwad High Court Belur,Full Time,Lcv  Department,07-May-19,5,3,4,3,4,4,4,"Good  company,",Teammates
Dealers Sales Executive,Balurghat,,Sales executive Department,01-Mar-19,5,5,4,4,3,5,3,Overall good,Hard work and aslo salary scale low
Sales Executive,Patna Kumhrar,,Events & Banquet Department,03-Jul-19,4,3,5,4,2,3,3,Good 👍,Not compermise my think about work
Senior Associate,Pune,,,04-Dec-18,5,5,5,5,5,5,4,Tata motors is best company in other oem company,Because company not take parmanent pay roll.
Customer Relation Officer,Bijapur,,Operations Support Department,09-Apr-18,4,2,1,1,2,4,2,the company is good my boss is very friendly and supportive person I love the fact that I’m a part of the team salary is too low,I love to work with Tata motors but I’m not happy teammates .. it’s almost one year now I had joined here but till now there’s no job training for me not even once also compensation is poor growth is very slow managers don’t value our effort at all which is pains sometimes I’m totally not happy with my salary and incentive I need good salary... I’m efforting lot but no worth at all there’s no career growth and work pressure is very high...Read More
Electrical Engineer,8434729822,,843472822 Department,08-May-19,1,1,2,2,2,2,1,yes like tata motors,Welder
Welder,Lucknow,,"Operations, Maintenance & Support Department",03-Aug-21,5,4,3,5,4,4,4,Good,In this Tata motors very thing about to learn
Team Leader,Sanand,,power train Department,06-Oct-18,3,2,3,3,3,4,2,He trained about safety and quality in training centre but when I go for shop and I saw in this shop no one wear safety equipment,
Purchase Engineer,Pune,,Procurement & Purchase Department,09-Sep-19,4,4,3,4,3,3,3,,
Sales Executive,Bardoli Surat,,Retail & B2C Sales Department,08-Aug-19,4,5,5,4,5,4,5,Nice experience,Tata Motors  always think  about our  employs
Sales Officer,Assam,,Marketing Department,08-Jul-19,4,4,4,4,4,5,4,Good,No
Production Supervisor,Pimpri-Chinchwad,,,06-Dec-19,4,3,4,5,4,5,4,Culture,Dirty polotics
Office Assistant,"Tata Motors Pvt Ltd.  Global Delivery Center. ICCDGTP Valllabhnagar IT Park, 602, 6 Floor",,Admin department / finance  Department,07-Nov-18,3,2,3,4,4,4,4,TATA Motors is big company and this higher to opportunity for youngsters and there are company give a good experience on working...,"There are working on Admin department and handle a Team, handle store area"
Sales Executive,Gwalior,,BD / Pre Sales Department,09-Jan-22,3,2,3,2,2,2,2,good work company policies are goodand thay give good salary,salary is decent but career growth is slow
"Production Supervisor ,team Leader",Pune,,,08-May-19,5,4,5,4,5,5,5,Training,Politics
Auto Mobil,Etawah,,Spare part Department,05-Apr-19,5,5,5,4,1,5,5,Spare parts,No
Kochi,Kochi,,Foe Department,07-Mar-19,1,1,1,1,1,1,1,Tata motors is the worst company I work before.,I don't like faculty executive as more..I hate that person
Senior Business Development Officer,Pune,,,08-Jan-19,5,5,5,3,3,5,4,Freedom to think and  apply different marketing strategies in market,Job security.
Iti Welder,,,,05-Sep-18,3,2,3,3,3,5,3,job security,
Rural Business Coordinator,Bhubaneswer,,Enterprise & B2B Sales Department,07-Mar-19,5,3,5,4,5,5,4,"No doubt Tata Motors Excellent company, but huge gap between planing & implications,","It's only works on papers ,practical fields implication is very less"
Production Manager,Lucknow,,Production planning and Control Department,08-Oct-18,5,5,5,5,1,4,1,"The company is open to innovation and readily adopts latest Technology.I love the fact that I am a part of a team relible.,high-quality products and has a global client base...thanks..","Compensation is decent ,but grouth is slow."
Iti Motor Mechanic Vehicle,Nagaur,,Finance Department,07-Aug-19,3,4,2,3,4,3,2,Mahindra,Tata
Safety Officer,,,,08-Jun-20,5,5,5,5,5,5,5,Good work and controlling Covid-19,Career growth
Manager Crm,,,Software Development Department,04-Nov-19,4,2,3,3,3,3,4,Working,Job security
Sales Trainee,Varanasi,,Finance Department,02-Jul-19,5,2,3,3,3,3,4,All good,Management is superb
Trainee,Pune,,,09-Jun-19,5,5,5,5,5,5,5,No feedback,TATA Motor Limited is good company in Vehicle manufacturering.
RBC,Jaipur,,Marketing Department,07-Apr-19,5,5,5,5,5,5,5,Deference between permanent and temporary employee.,The compny make a new Modal commercial and passenger vhical compny working is very good opportunity and automation with latest technology am also work in maintenance department I Love this department also I'm part of maintenance team am felling good when work of my team in tata motors
Qa Engineer,Pune,,Enterprise & B2B Sales Department,01-Jan-19,3,5,5,5,5,5,5,Job security and career growth is very  very less,
Diploma Apprentice Trainee,Pantnagar,,,02-Sep-18,5,1,3,3,1,4,2,,
Operation Executive,Airoli,,,02-Apr-21,5,5,5,5,5,5,5,I liked everything about tbss.,I didn't dislike anything
Diploma Trainee,Lucknow,,Accounting & Taxation Department,03-Oct-19,4,4,5,3,4,5,2,"Teammates, training, work environment is too good and everything is well.",All is well but I think Tata motors give a chance of diploma trainee for making permanent employee based on working ability of diploma trainee.
Diploma Maintenance Engineer,Hubballi-Dharwad,,"Operations, Maintenance & Support Department",06-May-19,5,5,5,5,5,5,5,Better to growth....,Super....
Trainee,Sanand,,"Operations, Maintenance & Support Department",03-Apr-19,2,1,2,2,1,5,1,Training,Not job security
Painter,Kanpur,,Paint shop Department,01-Jun-19,4,4,4,5,5,5,4,Painting,No leave
Computer Operator,Meerut,,Content Management (Print / Online / Electronic) Department,05-Jun-19,2,1,2,1,4,2,1,same type,Same type
Customer Relation Executive,Karimganj,,Finance Department,06-Apr-19,4,2,2,1,1,2,5,Best growt billings company I ever seen. Thank u.,Nothing
Store Officer,Sanand,,"Operations, Maintenance & Support Department",01-Feb-19,4,4,5,4,3,4,3,"Work environment,
Travel, learning","Job security, work-life balance"
Supervisor,Jamshedpur,,,05-Jan-19,5,5,4,3,2,5,5,Team work and good work environment,Seriously speaking tata motors canteen.
Operation Executive,"Pune, Maharashtra",,SCM & Logistics Department,03-Nov-22,4,2,3,3,4,3,2,Job sequrity,Lot of Politics.
Service Advisor,Hyderabad,Full Time,Software Development Department,09-Sep-19,5,4,4,3,5,5,4,Good to work in tata motors,Cafetaria
Customer Care Executive,Kukatpally,Full Time,Aiv process Department,02-Aug-19,4,4,4,3,5,5,4,very good working culture and system,no
Deputy Manager Production,Sanand,Full Time,,09-May-19,4,5,4,3,4,4,4,No better place than this.,"Working in shifts, but its ok you get used to it."
Senior Manager,Pune,Full Time,Engineering & Manufacturing Department,07-Jan-19,5,3,2,3,3,4,5,Yes,Nothing any form me
Mechanical Engg,Pune,,SCM & Logistics Department,06-Sep-19,5,5,5,4,5,5,4,Yes,Not  a dislike
Sap Data Entry Operator,Chara Panchla,,,04-May-19,2,5,5,5,5,5,5,"Work life balance, job security",Growth
Maintenance Executive (Electrical Maintenance),Jamshedpur,,Electrical Maintenance Department,05-Apr-22,4,2,2,2,2,3,2,Manpower deployment is time to time,Food
Traning,Pune,,SCM & Logistics Department,03-Aug-19,5,5,4,3,5,4,3,"Learning,work environment,work life balance,","Job security,career growth"
Production Team Leader,Hubli-Dharwad,,,04-Jan-19,5,4,5,5,5,4,5,Yes,etc
Neem Trainee,Ahemdabad,,,04-Mar-19,5,5,5,4,3,5,3,,
Tata Motors Cvbu Pimpri Chincwad,Pimpari,Full Time,Pimpari  Department,09-Nov-19,5,5,5,5,5,5,5,All of this,Career growth
Commercial Executive,Delhi,Full Time,,05-May-19,4,4,3,4,4,4,4,"best job, and carrer",customer problems not satisfied.
Seles Executive,Jabalpur,Full Time,Seles Department,05-Apr-19,4,4,4,5,4,5,5,I love Tata motors,No
Operator,Pantnagar,,Manufacturing Department,07-Sep-18,4,4,4,4,4,5,4,I a team member of tata motors and I satisfied the company provided facility to employes and I happy to working in tata motors.,Only 1 point the company terminate the temperory employee in 1 year
Associate Engineer,Hyderabad,,,09-Mar-19,5,3,5,1,1,4,2,Nothing,Manager
Executive,Hubballi-Dharwad,,"Operations, Maintenance & Support Department",05-Feb-19,5,5,5,4,4,5,4,Learning,Job security
Senior Associate,Pune,,Quality Department,02-Jan-19,5,5,5,5,5,5,5,Very good knowledge of wcq and work environment.,No value for good candidates. There is too much politics.
Senior Manager,"Pune, Maharashtra",,,09-May-22,5,5,4,3,5,4,3,#NAME?,Sometimes decision making is tough
Full Time Apprenticeship,Jamshedpur,,,03-Jan-20,4,4,5,5,5,5,5,Good,Timing(incoming and outgoing).
Diploma Electronics Engineer,Pune,,"Operations, Maintenance & Support Department",03-Apr-19,5,4,4,4,5,5,4,"Training, job security,",Appraisal
Iti Diesel Mechanic,Vapi,Intern,,09-Feb-19,5,5,5,5,5,5,5,Timing is best. No delay in salary. Worker and manager are very good.,No Problem.
